runName,conv_layers,filters_layer_1,filters_layer_2,filters_layer_3,kernel_size,strides,dense_layers,dense_units_1,dense_units_2,dropout_rate,optimizer,learning_rate,weight_decay,batch_size,epochs,accuracy,val_accuracy,loss,val_loss,accuracy_train,accuracy_val,accuracy_test,precision_train,precision_val,precision_test,recall_train,recall_val,recall_test,f1_train,f1_val,f1_test,precision_ps_train,precision_ps_val,precision_ps_test,precision_i_train,precision_i_val,precision_i_test,precision_ii_train,precision_ii_val,precision_ii_test,precision_iii_train,precision_iii_val,precision_iii_test,precision_iv_train,precision_iv_val,precision_iv_test,precision_nc_train,precision_nc_val,precision_nc_test,recall_ps_train,recall_ps_val,recall_ps_test,recall_i_train,recall_i_val,recall_i_test,recall_ii_train,recall_ii_val,recall_ii_test,recall_iii_train,recall_iii_val,recall_iii_test,recall_iv_train,recall_iv_val,recall_iv_test,recall_nc_train,recall_nc_val,recall_nc_test,f1_ps_train,f1_ps_val,f1_ps_test,f1_i_train,f1_i_val,f1_i_test,f1_ii_train,f1_ii_val,f1_ii_test,f1_iii_train,f1_iii_val,f1_iii_test,f1_iv_train,f1_iv_val,f1_iv_test,f1_nc_train,f1_nc_val,f1_nc_test,architecture,experiment_id,run_id,augmentation,stage,start_time,end_time
BEST MODEL | CustomCNN,3.0,32.0,128.0,128.0,5.0,2.0,1,128.0,,0.5,AdamW,0.0003217803880756,0.0001958323868834,32,64.0,0.7515262365341187,0.6439024209976196,0.6854470372200012,0.8232631683349609,0.8089133089133089,0.6414634146341464,0.528110599078341,0.8108081238225561,0.6308870749483655,0.555848522314004,0.8089133089133089,0.6414634146341464,0.528110599078341,0.8073271241536295,0.6329405407560089,0.4904260377156702,0.8984771573604061,0.8317757009345794,0.9793103448275862,0.7154471544715447,0.609375,0.6666666666666666,0.6432160804020101,0.5384615384615384,0.5405405405405406,0.728744939271255,0.5818181818181818,0.2645739910313901,0.8734177215189873,0.5283018867924528,0.5117647058823529,0.8888888888888888,0.5869565217391305,0.5136986301369864,0.9490616621983914,0.946808510638298,0.9793103448275862,0.8073394495412844,0.7090909090909091,0.2758620689655172,0.579185520361991,0.3818181818181818,0.1418439716312056,0.8035714285714286,0.5818181818181818,0.4338235294117647,0.915929203539823,0.5,0.90625,0.7446808510638298,0.5684210526315789,0.2365930599369085,0.9230769230769232,0.8855721393034826,0.9793103448275862,0.7586206896551724,0.6554621848739496,0.3902439024390244,0.6095238095238096,0.4468085106382978,0.2247191011235955,0.7643312101910829,0.5818181818181818,0.3286908077994429,0.8941684665226782,0.5137614678899083,0.6541353383458647,0.8104196816208393,0.5775401069518716,0.3239740820734341,CustomCNN,4,4782b8c87a6b46cbbf68dbc6e971a075,False,best_model_training,2026-08-27 04:43:57.891000+00:00,2026-08-27 05:44:23.933000+00:00
BEST MODEL | DenseNet121,,,,,,,2,32.0,128.0,0.2,AdamW,0.0007998201174686,0.0004544190975421,16,27.0,0.8192918300628662,0.70243901014328,0.4597722887992859,0.8412023186683655,0.8553113553113553,0.7121951219512195,0.6359447004608295,0.8609947360043717,0.7092415558007877,0.6561464067524151,0.8553113553113553,0.7121951219512195,0.6359447004608295,0.8552405467945425,0.7071809369416886,0.634113348095255,0.9139240506329114,0.87,1.0,0.9157303370786516,0.6744186046511628,0.3243243243243243,0.7260869565217392,0.6190476190476191,0.55,0.73992673992674,0.5846153846153846,0.4199134199134199,0.9366515837104072,0.7288135593220338,0.6941176470588235,0.8826979472140762,0.6831683168316832,0.6736401673640168,0.967828418230563,0.925531914893617,0.8137931034482758,0.7477064220183486,0.5272727272727272,0.2068965517241379,0.755656108597285,0.4727272727272727,0.4680851063829787,0.9017857142857144,0.6909090909090909,0.7132352941176471,0.915929203539823,0.7678571428571429,0.8194444444444444,0.800531914893617,0.7263157894736842,0.5078864353312302,0.9401041666666666,0.8969072164948454,0.8973384030418251,0.8232323232323232,0.5918367346938775,0.2526315789473684,0.7405764966740577,0.5360824742268041,0.5057471264367817,0.8128772635814889,0.6333333333333333,0.5286103542234333,0.9261744966442952,0.7478260869565218,0.7515923566878981,0.8396094839609484,0.7040816326530612,0.579136690647482,DenseNet121,4,a7ba1f5a473a42e383568a4e3fcc888b,True,best_model_training,2026-08-27 03:49:43.489000+00:00,2026-08-27 04:19:12.096000+00:00
BEST MODEL | InceptionResNetV2,,,,,,,2,512.0,512.0,0.5,AdamW,0.0007883555668657,1.578484030140255e-05,16,27.0,0.788156270980835,0.6829268336296082,0.5514187812805176,0.8102339506149292,0.8040293040293041,0.6707317073170732,0.5953917050691244,0.8089131021125144,0.6848607107602691,0.602878137140236,0.8040293040293041,0.6707317073170732,0.5953917050691244,0.8045095083479669,0.6739558939451433,0.5969969119086804,0.8943298969072165,0.8791208791208791,0.9834710743801652,0.8134715025906736,0.68,0.2777777777777778,0.6172839506172839,0.4925373134328358,0.4320987654320987,0.7209302325581395,0.5277777777777778,0.4539473684210526,0.8672566371681416,0.717391304347826,0.6827586206896552,0.8515151515151516,0.6785714285714286,0.5555555555555556,0.9302949061662198,0.851063829787234,0.8206896551724138,0.7201834862385321,0.6181818181818182,0.1724137931034483,0.6787330316742082,0.6,0.4964539007092198,0.8303571428571429,0.6909090909090909,0.5073529411764706,0.8672566371681416,0.5892857142857143,0.6875,0.7473404255319149,0.6,0.5678233438485805,0.911957950065703,0.8648648648648649,0.8947368421052632,0.7639902676399026,0.6476190476190476,0.2127659574468085,0.646551724137931,0.5409836065573771,0.462046204620462,0.7717842323651453,0.5984251968503937,0.4791666666666667,0.8672566371681416,0.6470588235294118,0.6851211072664359,0.7960339943342776,0.6368715083798883,0.5616224648985959,InceptionResNetV2,4,38a9239100cf4be993e430a86353beb0,True,best_model_training,2026-08-27 02:44:24.773000+00:00,2026-08-27 03:45:25.232000+00:00
BEST MODEL | ResNet50V2,,,,,,,1,64.0,,0.2,Adam,0.0006325892847285,,32,14.0,0.8632478713989258,0.6317073106765747,0.3667758405208587,1.0194754600524902,0.7948717948717948,0.6195121951219512,0.5907834101382489,0.811096778007962,0.6305741759866922,0.6093261657811851,0.7948717948717948,0.6195121951219512,0.5907834101382489,0.79121625586041,0.6160027512957579,0.5755522976026193,0.8064516129032258,0.75,0.9692307692307692,0.8181818181818182,0.5365853658536586,0.34375,0.6991525423728814,0.5094339622641509,0.4285714285714285,0.6785714285714286,0.4823529411764706,0.3875,0.8432203389830508,0.5964912280701754,0.6352040816326531,0.937037037037037,0.7428571428571429,0.6453488372093024,0.938337801608579,0.8297872340425532,0.8689655172413793,0.5779816513761468,0.4,0.1896551724137931,0.746606334841629,0.4909090909090909,0.3617021276595745,0.9330357142857144,0.7454545454545455,0.6838235294117647,0.8805309734513275,0.6071428571428571,0.8645833333333334,0.6728723404255319,0.5473684210526316,0.3501577287066246,0.8674101610904585,0.7878787878787878,0.9163636363636364,0.6774193548387096,0.4583333333333333,0.2444444444444444,0.7221006564551422,0.5,0.3923076923076923,0.7857142857142857,0.5857142857142857,0.4946808510638298,0.8614718614718615,0.6017699115044248,0.7323529411764705,0.7832817337461301,0.6303030303030303,0.4539877300613497,ResNet50V2,4,e7a5ce3aba87457f94337f27283d059c,True,best_model_training,2026-08-27 02:00:30.637000+00:00,2026-08-27 02:15:49.969000+00:00
