runName,architecture,optuna_trial,status,dense_layers,dense_units_1,dense_units_2,dropout_rate,optimizer,learning_rate,weight_decay,batch_size,epochs,accuracy,val_accuracy,loss,val_loss,best_val_loss,accuracy_train,accuracy_val,precision_train,precision_val,recall_train,recall_val,f1_train,f1_val,experiment_id,run_id,augmentation,stage,start_time,end_time
"DenseNet121 | dl:2, du1:32, du2:128, dr:0.2, opt:AdamW, lr:0.0009417967913727102, wd:1.6346397682403422e-05, bs:16",DenseNet121,68.0,completed,2,32.0,128.0,0.2,AdamW,0.0009417967913727,1.6346397682403422e-05,16,15.0,0.8113552927970886,0.6975609660148621,0.5108056664466858,0.7818247079849243,0.7262056469917297,0.7667887667887668,0.7146341463414634,0.7830090728815948,0.7150305322315517,0.7667887667887668,0.7146341463414634,0.7677497190344451,0.7118527962571393,2,2efa7f96749a4d21b128e9751ec1e601,True,hyperparameter_optimization,2026-08-03 05:41:21.440000+00:00,2026-08-03 05:58:04.948000+00:00
"DenseNet121 | dl:2, du1:32, du2:128, dr:0.2, opt:AdamW, lr:0.0009832879929238506, wd:0.0016164909554835256, bs:16",DenseNet121,67.0,completed,2,32.0,128.0,0.2,AdamW,0.0009832879929238,0.0016164909554835,16,24.0,0.8247863054275513,0.7170731425285339,0.4658503830432892,0.7807452082633972,0.7016458511352539,0.8455433455433455,0.7195121951219512,0.8494500136625135,0.7173824579468393,0.8455433455433455,0.7195121951219512,0.8447373416888516,0.7139696177768587,2,bcc051981bde4260af95449875145123,True,hyperparameter_optimization,2026-08-03 05:16:00.600000+00:00,2026-08-03 05:41:20.044000+00:00
"DenseNet121 | dl:2, du1:32, du2:128, dr:0.2, opt:AdamW, lr:0.0003982809026629999, wd:0.0005680313177563228, bs:16",DenseNet121,66.0,completed,2,32.0,128.0,0.2,AdamW,0.0003982809026629,0.0005680313177563,16,25.0,0.8095238208770752,0.6829268336296082,0.5136756300926208,0.7843316793441772,0.7379658222198486,0.8296703296703297,0.6902439024390243,0.8386236936710636,0.6891645837201337,0.8296703296703297,0.6902439024390243,0.830188374346119,0.6866434770799098,2,d06970abb6b244adacadbf74b86d56c7,True,hyperparameter_optimization,2026-08-03 04:49:34.729000+00:00,2026-08-03 05:15:59.212000+00:00
"DenseNet121 | dl:2, du1:32, du2:128, dr:0.2, opt:AdamW, lr:0.0005605680154418601, wd:0.0011033219098721312, bs:16",DenseNet121,65.0,completed,2,32.0,128.0,0.2,AdamW,0.0005605680154418,0.0011033219098721,16,19.0,0.811965823173523,0.704878032207489,0.5127474069595337,0.765896737575531,0.7268210649490356,0.8052503052503053,0.7146341463414634,0.8172572083579914,0.7167300465922557,0.8052503052503053,0.7146341463414634,0.8048261688964362,0.7107895278677814,2,775a027da7294aeb8328af6109bb6731,True,hyperparameter_optimization,2026-08-03 04:28:42.237000+00:00,2026-08-03 04:49:33.466000+00:00
"DenseNet121 | dl:0, dr:0.30000000000000004, opt:AdamW, lr:0.0007809847427510173, wd:0.00022427846737443417, bs:16",DenseNet121,63.0,completed,0,,,0.3,AdamW,0.000780984742751,0.0002242784673744,16,31.0,0.7692307829856873,0.6975609660148621,0.6138787269592285,0.7551673054695129,0.7519801259040833,0.8089133089133089,0.7073170731707317,0.8185299800793615,0.7095166775172385,0.8089133089133089,0.7073170731707317,0.8083797175237939,0.7049621032763759,2,fdcacc323cfb442c8feb3391d077e319,True,hyperparameter_optimization,2026-08-01 21:51:33.806000+00:00,2026-08-01 22:23:52.399000+00:00
"DenseNet121 | dl:2, du1:32, du2:128, dr:0.2, opt:Adam, lr:0.00012729389311085472, bs:16",DenseNet121,62.0,pruned,2,32.0,128.0,0.2,Adam,0.0001272938931108,,16,8.0,0.6062270998954773,0.6951219439506531,0.9855337738990784,0.8486197590827942,,,,,,,,,,2,78df65a6cb6e4e63905858103d5588ae,True,hyperparameter_optimization,2026-08-01 21:43:17.218000+00:00,2026-08-01 21:51:32.676000+00:00
"DenseNet121 | dl:1, du1:32, dr:0.2, opt:AdamW, lr:1.0115154348749362e-05, wd:0.000611791200443333, bs:16",DenseNet121,61.0,pruned,1,32.0,,0.2,AdamW,1.0115154348749362e-05,0.0006117912004433,16,8.0,0.3156288266181946,0.3073170781135559,1.6627528667449951,1.61572527885437,,,,,,,,,,2,97af0a3ddefa4bd483e2cc5ecd286c88,True,hyperparameter_optimization,2026-08-01 21:35:26.918000+00:00,2026-08-01 21:43:15.946000+00:00
"DenseNet121 | dl:2, du1:32, du2:128, dr:0.2, opt:AdamW, lr:0.0007958535810147989, wd:7.470489811750099e-05, bs:32",DenseNet121,60.0,completed,2,32.0,128.0,0.2,AdamW,0.0007958535810147,7.470489811750099e-05,32,25.0,0.8223443031311035,0.6975609660148621,0.4694080352783203,0.7965524196624756,0.7351125478744507,0.8192918192918193,0.7073170731707317,0.8358738358204059,0.7082706905176023,0.8192918192918193,0.7073170731707317,0.8194209170767648,0.7036541652671671,2,ef50eb370d344faeb843ebfe4903bdf5,True,hyperparameter_optimization,2026-08-01 20:59:48.572000+00:00,2026-08-01 21:35:25.687000+00:00
"DenseNet121 | dl:2, du1:32, du2:128, dr:0.2, opt:AdamW, lr:0.0007998201174686198, wd:0.000454419097542187, bs:16",DenseNet121,59.0,completed,2,32.0,128.0,0.2,AdamW,0.0007998201174686,0.0004544190975421,16,22.0,0.8260073065757751,0.7292683124542236,0.448304682970047,0.7481282949447632,0.692127525806427,0.818070818070818,0.7317073170731707,0.8234021159034983,0.7341365123642859,0.818070818070818,0.7317073170731707,0.8168406890615206,0.72999712485676,2,942cb01a17bd490999907ad917882362,True,hyperparameter_optimization,2026-08-01 20:36:21.279000+00:00,2026-08-01 20:59:47.191000+00:00
"DenseNet121 | dl:2, du1:32, du2:128, dr:0.2, opt:AdamW, lr:0.0008673572094577684, wd:0.0013929544499247492, bs:16",DenseNet121,58.0,completed,2,32.0,128.0,0.2,AdamW,0.0008673572094577,0.0013929544499247,16,15.0,0.7869352698326111,0.70243901014328,0.5380859971046448,0.7709602117538452,0.730343759059906,0.7765567765567766,0.7146341463414634,0.7890306553298626,0.7128402641861354,0.7765567765567766,0.7146341463414634,0.7772642451633823,0.7115586595122391,2,0b841d4018714872acd1a17ea569e7d0,True,hyperparameter_optimization,2026-08-01 20:19:33.340000+00:00,2026-08-01 20:36:19.881000+00:00
