runName,architecture,optuna_trial,status,conv_layers,filters_layer_1,filters_layer_2,filters_layer_3,kernel_size,strides,dense_layers,dense_units_1,dense_units_2,dropout_rate,optimizer,learning_rate,weight_decay,batch_size,epochs,accuracy,val_accuracy,loss,val_loss,best_val_loss,accuracy_train,accuracy_val,precision_train,precision_val,recall_train,recall_val,f1_train,f1_val,experiment_id,run_id,augmentation,stage,start_time,end_time
"CustomCNN | cl:3, fl1:32, fl2:128, fl3:32, ks:3, st:2, dl:1, du1:128, dr:0.5, opt:AdamW, lr:0.0005258299138285135, wd:3.354806925623199e-05, bs:32",CustomCNN,50.0,pruned,3.0,32.0,128.0,32.0,3.0,2.0,1,128.0,,0.5,AdamW,0.0005258299138285,3.354806925623199e-05,32,32.0,0.6556776762008667,0.6073170900344849,0.920764684677124,0.9428184628486632,,,,,,,,,,3,9739c32608ce4f23aed3111f73e75cca,False,hyperparameter_optimization,2026-08-16 13:49:05.065000+00:00,2026-08-16 14:17:01.283000+00:00
"CustomCNN | cl:3, fl1:128, fl2:32, fl3:128, ks:3, st:2, dl:1, du1:128, dr:0.4, opt:AdamW, lr:0.0007530997374213135, wd:5.939347657408802e-06, bs:32",CustomCNN,49.0,pruned,3.0,128.0,32.0,128.0,3.0,2.0,1,128.0,,0.4,AdamW,0.0007530997374213,5.939347657408802e-06,32,16.0,0.6306471228599548,0.5463414788246155,0.9589943885803224,1.163793921470642,,,,,,,,,,3,490bb02da36b43269c343296b7ae740e,False,hyperparameter_optimization,2026-08-16 13:04:08.840000+00:00,2026-08-16 13:49:02.981000+00:00
"CustomCNN | cl:3, fl1:32, fl2:16, fl3:32, ks:3, st:2, dl:1, du1:32, dr:0.5, opt:AdamW, lr:0.0009782740777321908, wd:0.00026299506405179715, bs:32",CustomCNN,48.0,pruned,3.0,32.0,16.0,32.0,3.0,2.0,1,32.0,,0.5,AdamW,0.0009782740777321,0.0002629950640517,32,8.0,0.4859584867954254,0.4097560942173004,1.2981009483337402,1.421929955482483,,,,,,,,,,3,c08deaf43db44b819016d39ffe468254,False,hyperparameter_optimization,2026-08-16 12:58:06.776000+00:00,2026-08-16 13:04:06.702000+00:00
"CustomCNN | cl:2, fl1:64, fl2:128, ks:5, st:1, dl:0, dr:0.5, opt:Adam, lr:0.00021124324033406389, bs:16",CustomCNN,47.0,pruned,2.0,64.0,128.0,,5.0,1.0,0,,,0.5,Adam,0.000211243240334,,16,8.0,0.4151404201984405,0.4219512343406677,1.48536479473114,1.5249167680740356,,,,,,,,,,3,6523e207445f4333b68907f3a12be45c,False,hyperparameter_optimization,2026-08-16 11:28:25.626000+00:00,2026-08-16 12:58:04.883000+00:00
"CustomCNN | cl:3, fl1:32, fl2:128, fl3:32, ks:3, st:2, dl:1, du1:128, dr:0.5, opt:AdamW, lr:0.0007584775206612068, wd:2.1506269019910458e-05, bs:32",CustomCNN,46.0,completed,3.0,32.0,128.0,32.0,3.0,2.0,1,128.0,,0.5,AdamW,0.0007584775206612,2.150626901991045e-05,32,76.0,0.7063491940498352,0.6585366129875183,0.7958815693855286,0.8519999384880066,0.850563108921051,0.742979242979243,0.6634146341463415,0.7476835187701449,0.662850174216028,0.742979242979243,0.6634146341463415,0.7424008792744625,0.6585767864923007,3,1eccd06f6f0141cdad6fffcd3a6bec66,False,hyperparameter_optimization,2026-08-16 10:21:43.611000+00:00,2026-08-16 11:28:23.990000+00:00
"CustomCNN | cl:3, fl1:32, fl2:64, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.5, opt:AdamW, lr:0.0005283768596437065, wd:0.0006692305450264039, bs:32",CustomCNN,45.0,pruned,3.0,32.0,64.0,32.0,3.0,2.0,1,64.0,,0.5,AdamW,0.0005283768596437,0.0006692305450264,32,25.0,0.6068376302719116,0.5170731544494629,0.9906012415885924,1.161483883857727,,,,,,,,,,3,51cb2fbfb4de45a3912393e29f5f2100,False,hyperparameter_optimization,2026-08-16 10:01:55.214000+00:00,2026-08-16 10:21:41.446000+00:00
"CustomCNN | cl:3, fl1:32, fl2:128, fl3:64, ks:3, st:2, dl:1, du1:128, dr:0.5, opt:Adam, lr:2.430835564450278e-05, bs:16",CustomCNN,44.0,pruned,3.0,32.0,128.0,64.0,3.0,2.0,1,128.0,,0.5,Adam,2.430835564450278e-05,,16,8.0,0.4120879173278808,0.5121951103210449,1.455416560173035,1.311498999595642,,,,,,,,,,3,554d41e88783427795bdb6ba872ab627,False,hyperparameter_optimization,2026-08-16 09:55:11.265000+00:00,2026-08-16 10:01:52.991000+00:00
"CustomCNN | cl:3, fl1:32, fl2:128, fl3:32, ks:3, st:2, dl:1, du1:128, dr:0.5, opt:AdamW, lr:0.0007743702177407214, wd:0.00019122074289889903, bs:32",CustomCNN,43.0,completed,3.0,32.0,128.0,32.0,3.0,2.0,1,128.0,,0.5,AdamW,0.0007743702177407,0.0001912207428988,32,61.0,0.6996337175369263,0.6512194871902466,0.8071598410606384,0.8528329730033875,0.8496103286743164,0.742979242979243,0.6414634146341464,0.7472245046423843,0.6453725837302728,0.742979242979243,0.6414634146341464,0.7417427045319804,0.6375866136519888,3,14304b3362304845a0db22a251aade06,False,hyperparameter_optimization,2026-08-16 09:01:42.498000+00:00,2026-08-16 09:55:09.297000+00:00
"CustomCNN | cl:3, fl1:32, fl2:128, fl3:32, ks:3, st:2, dl:1, du1:128, dr:0.5, opt:AdamW, lr:0.0004881051567175465, wd:0.0004665142637027704, bs:32",CustomCNN,42.0,pruned,3.0,32.0,128.0,32.0,3.0,2.0,1,128.0,,0.5,AdamW,0.0004881051567175,0.0004665142637027,32,51.0,0.6752136945724487,0.6268292665481567,0.8667505383491516,0.8730782866477966,,,,,,,,,,3,3076d23a99974ad3a840525ff04aaef7,False,hyperparameter_optimization,2026-08-16 08:17:17.430000+00:00,2026-08-16 09:01:40.364000+00:00
"CustomCNN | cl:3, fl1:32, fl2:128, fl3:32, ks:3, st:2, dl:1, du1:128, dr:0.5, opt:AdamW, lr:0.0009849389834462598, wd:0.0002947384835957604, bs:32",CustomCNN,41.0,completed,3.0,32.0,128.0,32.0,3.0,2.0,1,128.0,,0.5,AdamW,0.0009849389834462,0.0002947384835957,32,78.0,0.6996337175369263,0.6585366129875183,0.7990526556968689,0.8241738080978394,0.8219413161277771,0.7582417582417582,0.6731707317073171,0.761139520190051,0.6755286791580349,0.7582417582417582,0.6731707317073171,0.7568418044542864,0.6685784812869273,3,201e23026e6948c381cc6e70d6dc2333,False,hyperparameter_optimization,2026-08-16 07:08:57.898000+00:00,2026-08-16 08:17:15.360000+00:00
"CustomCNN | cl:3, fl1:16, fl2:128, fl3:32, ks:3, st:2, dl:2, du1:128, du2:32, dr:0.5, opt:AdamW, lr:0.0007099986514382645, wd:9.380394047191178e-06, bs:32",CustomCNN,40.0,pruned,3.0,16.0,128.0,32.0,3.0,2.0,2,128.0,32.0,0.5,AdamW,0.0007099986514382,9.380394047191178e-06,32,40.0,0.622710645198822,0.6390243768692017,0.9876492619514464,0.8895699977874756,,,,,,,,,,3,994432a26e344298bdba49edf29b7234,False,hyperparameter_optimization,2026-08-16 06:47:29.232000+00:00,2026-08-16 07:08:55.883000+00:00
