runName,architecture,optuna_trial,status,dense_layers,dense_units_1,dense_units_2,dropout_rate,optimizer,learning_rate,weight_decay,batch_size,epochs,accuracy,val_accuracy,loss,val_loss,best_val_loss,accuracy_train,accuracy_val,precision_train,precision_val,recall_train,recall_val,f1_train,f1_val,experiment_id,run_id,augmentation,stage,start_time,end_time
"ResNet50V2 | dl:1, du1:64, dr:0.2, opt:Adam, lr:0.0009894299522168798, bs:32",ResNet50V2,35.0,completed,1,64.0,,0.2,Adam,0.0009894299522168,,32,13.0,0.8736263513565063,0.6390243768692017,0.3596794903278351,0.9721624851226808,0.9101820588111876,0.7881562881562881,0.6390243902439025,0.7963223024819102,0.6470198591708262,0.7881562881562881,0.6390243902439025,0.7865592994723645,0.6388500703476305,2,0e432aad2e5f4a62a28e83cad9bcc9f3,True,hyperparameter_optimization,2026-08-02 10:42:07.949000+00:00,2026-08-02 10:55:44.009000+00:00
"ResNet50V2 | dl:1, du1:64, dr:0.2, opt:Adam, lr:0.0006195022899426935, bs:32",ResNet50V2,34.0,pruned,1,64.0,,0.2,Adam,0.0006195022899426,,32,11.0,0.8266178369522095,0.6097561120986938,0.461518794298172,0.9516961574554444,,,,,,,,,,2,b0e1a3cda83842399f3315c099076d8b,True,hyperparameter_optimization,2026-08-02 10:31:59.262000+00:00,2026-08-02 10:42:06.928000+00:00
"ResNet50V2 | dl:1, du1:64, dr:0.2, opt:Adam, lr:0.0006325892847285091, bs:32",ResNet50V2,33.0,completed,1,64.0,,0.2,Adam,0.0006325892847285,,32,16.0,0.8797313570976257,0.6463414430618286,0.3442413806915283,0.9539726972579956,0.8708182573318481,0.8412698412698413,0.6634146341463415,0.8458931612856515,0.6567331605907694,0.8412698412698413,0.6634146341463415,0.8400004700738369,0.6586125887427373,2,e48db98eb4c54398ba4868fe443a6e78,True,hyperparameter_optimization,2026-08-02 10:15:49.929000+00:00,2026-08-02 10:31:58.132000+00:00
"ResNet50V2 | dl:1, du1:64, dr:0.2, opt:Adam, lr:0.00013529940504881653, bs:32",ResNet50V2,32.0,completed,1,64.0,,0.2,Adam,0.0001352994050488,,32,20.0,0.7728937864303589,0.6268292665481567,0.5797262191772461,0.9195905923843384,0.9123516082763672,0.7844932844932845,0.6195121951219512,0.7913900036957636,0.6206465910394837,0.7844932844932845,0.6195121951219512,0.7849375287876409,0.6191047971653754,2,ea31f52edfe848369863252aab7241cb,True,hyperparameter_optimization,2026-08-02 09:56:02.355000+00:00,2026-08-02 10:15:48.749000+00:00
"ResNet50V2 | dl:1, du1:64, dr:0.5, opt:Adam, lr:0.0003163705439870477, bs:32",ResNet50V2,31.0,pruned,1,64.0,,0.5,Adam,0.000316370543987,,32,8.0,0.6697191596031189,0.6000000238418579,0.8121615052223206,0.9570225477218628,,,,,,,,,,2,fd6156781b5545299d6ff0dba673d393,True,hyperparameter_optimization,2026-08-02 09:48:40.385000+00:00,2026-08-02 09:56:01.184000+00:00
"ResNet50V2 | dl:2, du1:128, du2:512, dr:0.30000000000000004, opt:Adam, lr:5.5853397837723325e-05, bs:16",ResNet50V2,30.0,pruned,2,128.0,512.0,0.3,Adam,5.5853397837723325e-05,,16,8.0,0.6477411389350891,0.6000000238418579,0.8616397380828857,0.9652689695358276,,,,,,,,,,2,9ce98190bdee427bb0ce6a01c2cd3e6d,True,hyperparameter_optimization,2026-08-02 09:42:25.730000+00:00,2026-08-02 09:48:39.247000+00:00
"ResNet50V2 | dl:1, du1:256, dr:0.4, opt:AdamW, lr:4.977963802226768e-05, wd:1.1335436197569258e-07, bs:16",ResNet50V2,29.0,pruned,1,256.0,,0.4,AdamW,4.977963802226768e-05,1.133543619756926e-07,16,8.0,0.6849817037582397,0.5853658318519592,0.7992986440658569,0.9758663177490234,,,,,,,,,,2,e5a46031d5494541be0e76e69b49126f,True,hyperparameter_optimization,2026-08-02 09:36:08.909000+00:00,2026-08-02 09:42:24.533000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.00052151020451177, bs:32",ResNet50V2,28.0,pruned,0,,,0.5,Adam,0.0005215102045117,,32,8.0,0.6459096670150757,0.6000000238418579,0.8378451466560364,0.956039547920227,,,,,,,,,,2,b3aab46b59584ce7ad7b92cfe0e64403,True,hyperparameter_optimization,2026-08-02 09:28:45.505000+00:00,2026-08-02 09:36:07.696000+00:00
"ResNet50V2 | dl:1, du1:512, dr:0.5, opt:AdamW, lr:1.114839980591351e-05, wd:0.0003716662576613934, bs:16",ResNet50V2,27.0,pruned,1,512.0,,0.5,AdamW,1.114839980591351e-05,0.0003716662576613,16,8.0,0.5402930378913879,0.504878044128418,1.158036708831787,1.1648955345153809,,,,,,,,,,2,103f159323ca4a43a87855a358af6d74,True,hyperparameter_optimization,2026-08-02 09:22:26.819000+00:00,2026-08-02 09:28:44.510000+00:00
"ResNet50V2 | dl:0, dr:0.4, opt:Adam, lr:6.76408282550388e-05, bs:32",ResNet50V2,26.0,pruned,0,,,0.4,Adam,6.76408282550388e-05,,32,8.0,0.4468864500522613,0.5097560882568359,1.3348711729049685,1.145117163658142,,,,,,,,,,2,d430a398e46f46b08c2629236b4c9084,True,hyperparameter_optimization,2026-08-02 09:14:52.669000+00:00,2026-08-02 09:22:25.606000+00:00
